,title,subtitle,link
0,FLASHING SHAME,"My husband Kyle Walker is a d*** after being caught flashing, says wife",https://www.thesun.co.uk/sport/21641947/husband-kyle-walker-is-a-d-flashing-wife-annie/
1,COPS SEIZE CCTV,Police launch flashing inquiry into Kyle Walker & seize CCTV of his antics,https://www.thesun.co.uk/sport/21641950/police-inquiry-kyle-walker-cctv-footage/
2,BAYERN 2 PSG 0 (3-0 AGG),Messi and Mbappe crash OUT after Choupo-Moting and Gnabry goals,https://www.thesun.co.uk/sport/21642364/bayern-munich-psg-messi-mbappe-out-choupo-moting/
3,TOTT A LOAD OF RUBBISH,Spurs BOOED OFF after AC Milan exit as Conte decision also jeered,https://www.thesun.co.uk/sport/21641967/tottenham-booed-half-time-champions-league-ac-milan/
4,BIG DEAL,Bet £5 on football and get £20 in free bets with Ladbrokes,https://www.thesun.co.uk/sport/betting-tips/19780272/ladbrokes-20-football-free-bets/
5,WOUT ABOUT THAT,Wout Weghorst drives to Man Utd training after 'This Is Anfield' sign storm,https://www.thesun.co.uk/sport/21636359/weghorst-drives-training-man-utd-fernandes-fred/
6,NO MIK TAKIN',Arteta's blunt response after he's linked with stunning Real Madrid switch,https://www.thesun.co.uk/sport/21642044/mikel-arteta-gives-blunt-response-arsenal-real-madrid/
7,NO FOUL PLAY?,Man City star Kyle Walker will NOT be punished by club over flashing video,https://www.thesun.co.uk/sport/21637846/kyle-walker-not-punished-club-video-flashing/
8,TAKING THE MIC,Watch Micah Richards' stony-faced reaction to Kate Abdo's cheeky comment,https://www.thesun.co.uk/sport/21641720/watch-micah-richards-abdo-cbs-champions-league/
9,ROLEX,Win an incredible Rolex Batman or £12k cash alternative from just 89p,https://www.thesun.co.uk/sport/betting-tips/18922011/win-rolex-7dp/
10,ART OF WAR,How Real Madrid could look under Arteta with raid on Arsenal for three stars,https://www.thesun.co.uk/sport/21639983/arsenal-mikel-arteta-real-madrid-boss-potential-team/
11,TEAR FEAR,What Fergie shouted at Nani after he was victim of horror Jamie Carragher tackle,https://www.thesun.co.uk/sport/21641538/alex-ferguson-nani-man-utd-jamie-carragher-tackle/
12,TIME FOR CHANGE,I played for Man Utd & England… now I'm selling luxury watches for millions,https://www.thesun.co.uk/sport/21639999/man-utd-england-selling-luxury-watches/
13,NEW LION OF WORK,'I fulfil one of my dreams' - Messi lands new role outside of football,https://www.thesun.co.uk/sport/21641275/lionel-messi-psg-television-animated-series/
14,MAGIC MIKE,Man Utd legend Michael Carrick 'in line for shock Premier League job',https://www.thesun.co.uk/sport/21638184/michael-carrick-west-ham-manchester-united-middlesbrough/
15,TOP GUNS,Supercomputer predicts Arsenal and Man Utd's Europa League title chances,https://www.thesun.co.uk/sport/21633570/supercomputer-arsenal-europa-league-manchester-united/
16,HE SCOTT TO GO,Scott Parker SACKED by Club Brugge after just 67 DAYS following Euro KO,https://www.thesun.co.uk/sport/21637786/scott-parker-sacked-by-club-brugge/
17,BRAVO ROMEO,Beckham Jr to face international team in Brentford friendly behind closed doors,https://www.thesun.co.uk/sport/21638234/romeo-beckham-brentford-international-friendly/
